YearsExperience,EducationLevel,Age,JobRole,Location,Certifications,PreviousCompanies,PerformanceRating,TechStack,Department,WorkingHours,LeavesTaken,Gender,EmploymentType,RemoteWork,Salary
10,2,41,Analyst,Delhi,2,2,3,C++,Operations,58,13,Male,FullTime,0,44900.0
6,4,45,Manager,Mumbai,1,5,4,JavaScript,IT,41,28,Female,FullTime,0,50100.0
28,3,55,Analyst,Chennai,1,5,2,JavaScript,Operations,37,14,Male,FullTime,1,81500.0
3,3,60,Intern,Delhi,0,0,3,Python,HR,52,25,Female,Contract,1,37400.0
24,2,50,Engineer,Hyderabad,1,5,5,C++,Operations,43,23,Other,Contract,1,58700.0
11,5,51,Intern,Hyderabad,4,0,3,Java,Admin,43,16,Female,PartTime,0,33800.0
25,1,26,Lead,Pune,0,0,5,SQL,Admin,49,26,Other,Contract,1,50700.0
5,1,31,Director,Mumbai,1,1,4,C++,IT,35,20,Other,PartTime,1,22700.0
13,1,62,Manager,Pune,4,2,5,SQL,Admin,35,2,Other,FullTime,1,43400.0
11,5,28,Manager,Bangalore,0,1,1,Java,Operations,58,0,Male,PartTime,0,46100.0
10,5,28,Manager,Bangalore,1,0,2,JavaScript,Operations,57,4,Male,PartTime,1,53900.0
18,1,59,Manager,Bangalore,4,4,1,Java,Admin,50,24,Other,PartTime,0,49700.0
20,1,32,Analyst,Hyderabad,3,3,3,JavaScript,IT,36,22,Other,Contract,1,32100.0
4,5,23,Lead,Mumbai,3,0,2,SQL,Finance,42,23,Other,Contract,1,27800.0
13,1,63,Analyst,Hyderabad,2,0,3,Java,Finance,52,8,Female,Contract,0,30700.0
20,5,36,Manager,Mumbai,2,1,2,Java,Admin,46,3,Other,PartTime,0,87800.0
23,4,61,Analyst,Pune,0,5,3,Python,Admin,51,22,Female,Contract,0,53700.0
15,2,47,Manager,Hyderabad,4,2,5,JavaScript,Admin,36,12,Other,Contract,0,43800.0
24,2,36,Engineer,Chennai,2,2,3,Python,Admin,51,14,Male,Contract,1,69600.0
12,5,25,Analyst,Pune,5,1,3,SQL,HR,54,27,Female,Contract,1,51400.0
24,1,60,Lead,Delhi,1,1,5,JavaScript,Finance,46,12,Female,FullTime,0,77000.0
28,2,32,Intern,Delhi,5,2,4,SQL,Finance,57,23,Male,PartTime,0,64400.0
21,3,23,Engineer,Hyderabad,0,3,5,C++,HR,35,9,Female,FullTime,0,70200.0
21,1,55,Director,Mumbai,2,1,4,SQL,Finance,53,17,Male,Contract,1,52500.0
24,5,23,Analyst,Mumbai,4,1,4,C++,Operations,40,22,Female,Contract,1,80300.0
19,3,51,Analyst,Bangalore,5,0,4,Java,Operations,50,15,Female,FullTime,1,63500.0
21,5,44,Consultant,Bangalore,1,3,3,SQL,Operations,56,14,Female,Contract,1,65100.0
3,1,61,Intern,Hyderabad,5,0,5,JavaScript,IT,53,25,Female,PartTime,0,11500.0
10,4,49,Director,Mumbai,1,2,5,JavaScript,Operations,58,9,Other,PartTime,0,58600.0
16,4,53,Lead,Chennai,1,3,2,SQL,IT,59,24,Male,FullTime,0,60600.0
6,4,58,Engineer,Delhi,4,0,3,Java,Admin,48,1,Other,FullTime,1,30700.0
13,1,36,Director,Pune,3,4,1,Python,Admin,47,17,Other,PartTime,1,24000.0
25,1,53,Lead,Mumbai,1,0,1,JavaScript,Admin,55,25,Male,PartTime,0,71000.0
10,3,30,Consultant,Bangalore,3,4,3,SQL,Admin,45,21,Female,FullTime,0,34900.0
27,1,50,Engineer,Hyderabad,5,3,5,Python,Admin,36,30,Female,FullTime,0,60600.0
21,1,54,Consultant,Mumbai,0,5,3,JavaScript,Operations,51,9,Other,FullTime,1,65400.0
8,3,55,Lead,Mumbai,1,1,1,Python,HR,48,29,Other,Contract,0,44300.0
22,3,27,Consultant,Hyderabad,4,4,4,SQL,Admin,48,1,Male,PartTime,1,61700.0
12,5,26,Lead,Chennai,5,3,4,Python,HR,57,29,Male,Contract,1,31400.0
22,2,35,Manager,Delhi,4,5,5,JavaScript,HR,39,9,Male,FullTime,0,61300.0
17,2,52,Analyst,Chennai,1,2,2,SQL,HR,55,22,Male,FullTime,1,64800.0
27,5,22,Engineer,Chennai,2,2,4,C++,Finance,57,29,Female,FullTime,1,56600.0
10,4,52,Manager,Bangalore,2,5,4,C++,HR,56,25,Other,Contract,1,35300.0
14,1,48,Consultant,Delhi,3,4,4,Java,Operations,44,13,Other,Contract,1,21400.0
24,3,41,Consultant,Chennai,1,4,5,SQL,Operations,36,19,Female,Contract,1,69800.0
25,3,37,Consultant,Mumbai,3,4,5,JavaScript,Finance,39,15,Male,PartTime,0,70900.0
24,4,39,Engineer,Mumbai,5,1,3,JavaScript,Finance,42,26,Male,Contract,0,63700.0
21,3,34,Manager,Bangalore,1,2,1,SQL,Operations,58,14,Male,FullTime,0,55900.0
28,4,54,Engineer,Delhi,3,5,4,SQL,Admin,48,3,Male,FullTime,0,81000.0
18,5,40,Analyst,Pune,0,3,1,Java,Operations,37,19,Male,FullTime,0,61100.0
0,4,41,Intern,Hyderabad,5,0,2,Java,Admin,41,11,Other,FullTime,0,27800.0
3,2,23,Intern,Mumbai,4,2,4,Python,Operations,46,17,Female,PartTime,0,6400.0
13,4,34,Lead,Hyderabad,2,5,4,Python,HR,50,8,Female,FullTime,0,51100.0
13,5,41,Analyst,Pune,2,3,2,Java,Admin,47,24,Female,PartTime,1,61600.0
2,4,47,Engineer,Bangalore,0,4,5,Java,IT,55,22,Male,PartTime,1,38400.0
29,5,27,Analyst,Mumbai,4,5,3,JavaScript,HR,51,17,Other,PartTime,0,86600.0
27,2,62,Intern,Mumbai,2,4,5,SQL,Operations,45,12,Other,Contract,1,77600.0
16,1,49,Engineer,Pune,0,2,1,Python,Admin,37,1,Male,FullTime,0,43200.0
2,5,29,Director,Chennai,2,5,2,JavaScript,IT,45,29,Other,Contract,1,19300.0
15,1,60,Director,Bangalore,5,5,4,SQL,Operations,58,21,Male,FullTime,0,33600.0
13,5,35,Intern,Bangalore,2,2,4,Python,IT,49,25,Female,Contract,0,49600.0
29,4,64,Engineer,Chennai,1,2,1,C++,HR,54,10,Other,FullTime,1,81600.0
19,1,48,Director,Bangalore,0,2,4,SQL,Admin,43,16,Male,Contract,0,53300.0
28,5,58,Lead,Chennai,5,5,5,JavaScript,Admin,57,6,Other,FullTime,1,99000.0
12,5,35,Intern,Pune,5,5,2,Java,HR,54,22,Female,FullTime,1,57800.0
14,1,35,Engineer,Chennai,4,4,5,Python,Admin,52,26,Female,FullTime,0,40300.0
13,5,50,Manager,Chennai,4,4,5,Java,Admin,42,26,Male,Contract,0,56100.0
23,1,52,Consultant,Delhi,2,3,3,C++,Finance,41,26,Female,Contract,1,79800.0
24,2,60,Director,Mumbai,1,4,2,Java,Admin,50,7,Male,Contract,0,60600.0
18,3,32,Intern,Mumbai,0,1,3,JavaScript,Operations,48,27,Other,FullTime,1,66900.0
5,2,40,Consultant,Mumbai,4,4,3,SQL,IT,36,23,Female,PartTime,1,35000.0
9,1,47,Intern,Delhi,3,0,4,SQL,Finance,42,12,Male,FullTime,0,26400.0
26,4,22,Lead,Pune,3,3,1,C++,IT,52,24,Other,Contract,1,88600.0
14,4,61,Engineer,Mumbai,0,4,3,Python,Operations,42,29,Female,PartTime,1,46400.0
20,3,42,Consultant,Pune,1,2,4,JavaScript,Operations,59,28,Female,FullTime,1,74900.0
21,1,46,Manager,Chennai,3,2,4,C++,Operations,50,30,Other,PartTime,1,50400.0
19,5,60,Consultant,Pune,3,1,2,JavaScript,Operations,51,9,Male,PartTime,1,78600.0
25,2,28,Lead,Hyderabad,2,4,3,Python,Operations,54,24,Male,PartTime,1,53200.0
5,2,56,Consultant,Hyderabad,3,0,5,C++,IT,35,2,Female,FullTime,1,25800.0
22,3,46,Director,Mumbai,2,2,1,SQL,Finance,42,27,Male,Contract,1,54900.0
24,3,57,Intern,Pune,1,3,5,JavaScript,HR,38,16,Female,PartTime,0,67000.0
9,3,37,Engineer,Bangalore,0,3,3,C++,IT,36,1,Other,Contract,0,23300.0
6,3,27,Director,Mumbai,3,1,5,Python,Operations,51,21,Male,Contract,1,23600.0
21,3,21,Manager,Delhi,3,0,3,JavaScript,Finance,37,27,Other,Contract,0,47700.0
16,3,47,Engineer,Bangalore,3,3,5,SQL,Admin,36,12,Other,FullTime,1,33500.0
17,5,62,Lead,Hyderabad,0,4,3,JavaScript,HR,49,5,Male,Contract,0,58600.0
16,5,46,Director,Chennai,5,1,2,Python,HR,41,3,Male,PartTime,1,76700.0
8,2,52,Intern,Mumbai,0,3,4,C++,IT,35,7,Other,PartTime,1,40500.0
9,2,34,Analyst,Pune,3,4,4,C++,Operations,42,20,Male,PartTime,0,41800.0
9,3,39,Consultant,Pune,2,3,2,Java,HR,41,25,Female,PartTime,1,25600.0
24,2,29,Lead,Mumbai,4,3,4,SQL,Admin,59,6,Male,FullTime,0,56600.0
6,3,63,Director,Mumbai,0,4,3,Java,Finance,57,19,Female,PartTime,0,36200.0
15,5,64,Analyst,Bangalore,4,3,5,C++,IT,36,26,Male,Contract,0,65900.0
28,4,21,Intern,Pune,4,4,1,C++,IT,53,27,Male,FullTime,1,75200.0
17,5,41,Manager,Delhi,2,5,1,JavaScript,Admin,45,5,Other,PartTime,0,60800.0
5,1,40,Engineer,Chennai,4,3,2,C++,Admin,54,23,Female,FullTime,1,18300.0
26,5,53,Manager,Chennai,2,3,4,C++,HR,52,28,Female,Contract,0,82200.0
19,1,53,Manager,Mumbai,5,2,5,JavaScript,HR,44,2,Male,PartTime,0,42100.0
0,2,38,Consultant,Chennai,2,3,1,SQL,Finance,42,12,Male,FullTime,1,7500.0
0,5,61,Engineer,Chennai,4,5,5,Python,Finance,51,27,Male,FullTime,0,17000.0
11,4,37,Lead,Mumbai,3,4,1,Java,Admin,35,5,Male,FullTime,1,33800.0
20,5,33,Director,Mumbai,1,2,5,SQL,Operations,44,24,Female,FullTime,1,78400.0
27,5,63,Manager,Pune,2,2,4,JavaScript,Admin,52,28,Male,FullTime,0,80200.0
1,5,29,Consultant,Delhi,1,3,3,Java,HR,35,5,Male,Contract,0,11700.0
3,3,21,Consultant,Pune,3,0,3,Java,Finance,41,12,Female,FullTime,0,18800.0
16,5,43,Lead,Mumbai,3,5,5,JavaScript,IT,51,3,Female,Contract,0,71800.0
3,5,60,Consultant,Mumbai,1,3,4,Python,Finance,39,2,Female,Contract,1,36600.0
10,4,54,Analyst,Delhi,3,5,3,C++,IT,37,24,Other,FullTime,1,45300.0
21,1,56,Consultant,Delhi,4,2,3,Java,Operations,53,20,Other,Contract,0,47100.0
25,1,34,Manager,Pune,3,2,3,Python,IT,50,8,Other,Contract,0,62600.0
3,4,41,Lead,Chennai,1,3,5,Java,Finance,53,6,Other,PartTime,1,34000.0
0,2,63,Lead,Pune,4,3,1,SQL,IT,59,14,Male,PartTime,0,22800.0
6,5,63,Intern,Mumbai,1,4,1,Java,Operations,37,3,Other,PartTime,0,53900.0
29,2,41,Director,Bangalore,1,1,2,C++,IT,38,12,Other,Contract,1,72700.0
17,4,48,Manager,Mumbai,2,3,2,C++,IT,56,29,Male,Contract,0,61800.0
8,2,52,Engineer,Chennai,3,3,4,Python,Finance,43,20,Male,PartTime,1,24700.0
28,1,50,Director,Pune,5,5,1,JavaScript,HR,49,18,Other,Contract,0,77300.0
2,3,60,Engineer,Hyderabad,0,1,3,SQL,Finance,43,0,Male,FullTime,1,15200.0
7,2,32,Engineer,Delhi,3,2,5,Java,IT,55,21,Other,Contract,1,37700.0
28,3,49,Lead,Mumbai,0,5,1,Java,Finance,36,23,Male,PartTime,0,76900.0
23,2,21,Engineer,Bangalore,5,2,3,Python,HR,57,15,Male,Contract,1,67700.0
18,4,46,Engineer,Bangalore,5,2,1,SQL,Admin,47,17,Female,PartTime,1,48100.0
3,3,36,Director,Mumbai,0,1,1,SQL,Operations,59,0,Female,Contract,1,37700.0
17,2,38,Manager,Pune,3,2,4,Python,Operations,56,5,Other,Contract,0,45600.0
19,4,53,Director,Pune,3,5,3,SQL,IT,52,25,Female,Contract,0,51000.0
26,1,62,Lead,Hyderabad,0,2,1,JavaScript,Admin,45,1,Other,FullTime,0,66700.0
10,5,63,Manager,Pune,0,5,1,SQL,HR,42,15,Other,FullTime,0,53200.0
26,4,43,Director,Pune,5,4,1,Java,HR,44,21,Female,Contract,1,69500.0
13,4,25,Manager,Delhi,5,0,5,Python,Operations,37,19,Female,FullTime,1,57700.0
24,1,41,Analyst,Mumbai,5,1,4,Java,Finance,36,28,Other,FullTime,0,72800.0
17,3,21,Director,Chennai,0,3,5,SQL,Admin,38,12,Female,Contract,0,27300.0
27,2,51,Intern,Delhi,3,2,1,Python,HR,44,20,Male,FullTime,1,79200.0
27,3,38,Intern,Pune,3,4,5,SQL,Finance,37,30,Female,FullTime,1,79200.0
28,4,41,Consultant,Bangalore,1,3,1,Java,IT,58,2,Male,PartTime,0,71600.0
15,2,27,Consultant,Hyderabad,0,2,5,SQL,Admin,51,15,Female,Contract,1,39000.0
2,5,21,Manager,Chennai,3,3,5,SQL,HR,51,23,Other,FullTime,0,37200.0
14,5,43,Engineer,Mumbai,4,1,4,Java,Operations,36,1,Female,PartTime,0,58100.0
26,2,47,Analyst,Delhi,1,1,3,JavaScript,HR,39,12,Male,FullTime,0,66800.0
26,4,22,Engineer,Pune,1,2,5,Python,Finance,48,21,Female,FullTime,1,66800.0
30,1,54,Analyst,Mumbai,5,2,4,SQL,Admin,55,20,Female,PartTime,0,76700.0
3,3,36,Intern,Bangalore,2,0,1,C++,Operations,39,17,Female,FullTime,1,7800.0
4,3,60,Lead,Hyderabad,5,1,2,Java,IT,38,17,Female,PartTime,0,20000.0
16,1,30,Manager,Chennai,1,4,3,C++,HR,50,18,Male,FullTime,0,34200.0
6,1,40,Analyst,Bangalore,2,3,1,SQL,Finance,56,21,Female,Contract,1,19100.0
15,5,57,Manager,Mumbai,1,4,3,SQL,Operations,43,1,Other,FullTime,0,59300.0
13,1,45,Lead,Chennai,4,2,2,SQL,HR,51,17,Male,FullTime,0,39500.0
25,2,24,Analyst,Pune,3,5,3,Python,HR,44,30,Other,PartTime,0,69800.0
15,5,52,Manager,Mumbai,5,5,1,Java,IT,41,13,Female,Contract,0,68100.0
6,4,48,Intern,Mumbai,5,0,1,Java,Admin,44,0,Female,PartTime,0,28900.0
8,5,60,Director,Pune,5,0,4,SQL,Admin,42,3,Male,PartTime,1,45600.0
3,5,33,Manager,Hyderabad,1,0,3,C++,Finance,43,13,Other,Contract,0,36000.0
29,3,25,Manager,Hyderabad,5,2,2,Java,HR,56,25,Other,FullTime,0,71100.0
29,1,37,Manager,Hyderabad,1,2,1,JavaScript,HR,51,24,Female,FullTime,0,74700.0
21,2,27,Engineer,Hyderabad,2,3,5,JavaScript,IT,44,1,Other,Contract,1,45600.0
10,1,30,Analyst,Hyderabad,3,0,5,C++,Admin,37,5,Male,PartTime,1,20100.0
1,3,47,Manager,Pune,0,5,1,SQL,HR,39,4,Other,Contract,0,20100.0
11,1,55,Lead,Delhi,4,5,1,C++,IT,52,29,Female,Contract,1,32300.0
11,2,43,Manager,Pune,0,5,5,JavaScript,Finance,51,16,Female,Contract,0,54000.0
29,1,36,Manager,Hyderabad,0,1,2,Python,Admin,51,16,Other,FullTime,1,74400.0
3,3,47,Director,Hyderabad,4,1,5,Python,Admin,46,23,Female,Contract,0,47800.0
17,2,35,Director,Chennai,2,0,3,C++,IT,50,29,Other,Contract,0,44000.0
25,1,26,Director,Chennai,3,3,4,JavaScript,HR,58,12,Male,PartTime,0,43600.0
20,3,62,Engineer,Pune,4,2,4,SQL,Operations,35,10,Other,FullTime,1,77200.0
30,3,59,Lead,Pune,0,1,1,Python,Operations,52,1,Female,PartTime,1,80400.0
6,5,44,Analyst,Chennai,2,3,5,JavaScript,HR,38,10,Other,Contract,1,41800.0
28,2,43,Lead,Delhi,3,4,1,JavaScript,IT,56,3,Other,PartTime,1,78400.0
0,2,25,Consultant,Hyderabad,1,0,5,SQL,Finance,47,27,Male,PartTime,1,14100.0
30,1,27,Director,Pune,3,1,3,C++,HR,54,8,Female,Contract,1,61700.0
25,5,42,Lead,Delhi,5,3,2,SQL,Operations,55,12,Male,Contract,1,79400.0
25,2,49,Engineer,Delhi,5,1,3,C++,Admin,46,22,Female,PartTime,1,58200.0
22,3,51,Consultant,Pune,2,5,4,Python,IT,54,8,Female,PartTime,1,60100.0
25,2,55,Manager,Mumbai,3,1,5,SQL,HR,42,20,Male,Contract,0,67900.0
12,5,54,Director,Delhi,0,0,3,Java,Admin,59,29,Female,Contract,1,40900.0
5,4,39,Analyst,Mumbai,1,2,5,JavaScript,HR,56,0,Male,FullTime,1,41200.0
5,3,54,Consultant,Pune,5,2,5,Python,Admin,35,16,Female,Contract,1,39100.0
11,2,50,Engineer,Bangalore,3,3,2,Python,IT,51,6,Female,PartTime,1,41000.0
7,3,39,Lead,Chennai,3,0,5,JavaScript,HR,49,17,Female,PartTime,1,41500.0
23,1,38,Consultant,Mumbai,0,2,1,JavaScript,IT,40,16,Male,FullTime,0,56000.0
21,3,21,Analyst,Bangalore,5,3,4,Java,Finance,46,15,Male,PartTime,1,66000.0
18,2,61,Analyst,Pune,2,3,5,C++,Operations,55,6,Female,FullTime,1,47200.0
4,1,36,Director,Delhi,1,3,4,Java,Operations,56,12,Other,Contract,0,8500.0
17,1,60,Manager,Pune,1,1,1,Java,IT,53,11,Female,PartTime,0,39800.0
30,1,48,Engineer,Mumbai,1,3,2,Python,IT,50,16,Other,FullTime,0,66700.0
29,4,31,Consultant,Delhi,4,5,5,JavaScript,Admin,58,20,Female,Contract,1,71600.0
4,4,52,Lead,Mumbai,4,4,2,Python,Admin,59,1,Female,FullTime,0,37600.0
29,1,46,Lead,Chennai,1,4,4,JavaScript,HR,42,18,Male,PartTime,1,77900.0
24,2,30,Engineer,Delhi,4,5,5,Java,HR,48,2,Male,PartTime,1,70800.0
9,1,43,Consultant,Hyderabad,3,4,3,Java,HR,54,28,Male,FullTime,1,27900.0
0,1,59,Engineer,Hyderabad,5,4,1,Java,HR,36,15,Other,FullTime,0,20100.0
9,3,53,Consultant,Pune,3,1,3,SQL,Operations,52,18,Male,Contract,0,54800.0
4,3,34,Consultant,Mumbai,1,4,2,Python,HR,40,28,Female,Contract,1,30000.0
11,3,29,Analyst,Chennai,1,0,1,JavaScript,IT,35,28,Female,FullTime,0,50900.0
21,5,34,Intern,Delhi,5,3,2,JavaScript,Finance,39,30,Male,PartTime,1,61500.0
29,3,56,Intern,Delhi,1,3,1,C++,IT,51,16,Female,FullTime,0,71900.0
26,3,61,Consultant,Mumbai,5,3,3,Python,HR,37,3,Male,Contract,0,79800.0
6,2,22,Manager,Chennai,4,0,3,Java,HR,59,18,Female,PartTime,0,18000.0
8,4,31,Manager,Bangalore,5,4,5,C++,IT,40,18,Male,PartTime,0,50200.0
21,4,34,Director,Delhi,1,4,2,JavaScript,IT,59,4,Male,PartTime,0,61700.0
20,4,56,Intern,Bangalore,0,5,5,Java,Finance,39,15,Male,FullTime,0,64500.0
11,5,55,Lead,Delhi,3,1,3,Java,Finance,58,28,Female,FullTime,1,56700.0
22,1,62,Lead,Mumbai,3,1,1,Java,Finance,37,9,Male,FullTime,1,44900.0
28,3,45,Intern,Chennai,2,1,1,SQL,Finance,39,4,Male,FullTime,1,73500.0
0,2,53,Intern,Hyderabad,5,5,1,Java,Operations,55,4,Female,Contract,0,32300.0
10,5,29,Engineer,Mumbai,3,2,2,JavaScript,Admin,52,21,Female,PartTime,0,34900.0
29,4,33,Intern,Hyderabad,3,1,5,Java,Admin,35,8,Male,PartTime,0,63000.0
20,5,63,Director,Bangalore,1,3,4,Java,Operations,54,19,Other,Contract,1,87600.0
14,2,30,Manager,Bangalore,2,4,3,Python,HR,47,16,Female,PartTime,1,30600.0
1,5,53,Consultant,Pune,0,2,1,C++,Finance,42,11,Other,Contract,1,47000.0
19,4,29,Intern,Mumbai,5,2,4,Java,Admin,48,15,Male,FullTime,1,57900.0
6,1,60,Manager,Bangalore,5,2,1,SQL,Finance,51,23,Other,FullTime,0,28000.0
20,4,33,Manager,Delhi,0,1,4,Python,Operations,36,11,Male,FullTime,0,79300.0
11,4,44,Consultant,Chennai,1,0,4,C++,HR,36,27,Other,PartTime,0,56400.0
21,4,60,Director,Mumbai,1,2,3,JavaScript,Finance,52,7,Female,FullTime,0,60900.0
17,5,37,Director,Pune,0,2,4,C++,IT,42,29,Male,Contract,0,62200.0
2,2,53,Engineer,Bangalore,0,1,2,C++,Admin,44,28,Female,PartTime,1,6700.0
6,4,43,Analyst,Pune,1,4,1,Python,Operations,48,5,Male,FullTime,1,35900.0
10,5,47,Director,Bangalore,3,3,3,JavaScript,IT,50,4,Male,FullTime,0,54100.0
17,2,64,Manager,Pune,0,4,2,Python,IT,43,19,Female,Contract,0,32200.0
11,1,64,Director,Bangalore,2,5,4,Python,HR,41,24,Female,Contract,1,22800.0
5,4,63,Analyst,Pune,0,4,3,SQL,Admin,50,5,Female,FullTime,0,46100.0
4,3,46,Director,Bangalore,4,5,2,Java,Finance,54,25,Other,PartTime,1,35500.0
25,5,44,Manager,Hyderabad,2,2,3,Python,Finance,52,24,Male,FullTime,0,99800.0
0,1,31,Engineer,Delhi,3,2,5,C++,Finance,58,30,Other,Contract,0,-2800.0
11,1,49,Director,Pune,0,4,3,JavaScript,IT,40,11,Female,PartTime,0,18200.0
26,1,25,Manager,Delhi,1,2,2,Java,Admin,48,21,Other,FullTime,0,62700.0
30,5,44,Director,Bangalore,5,2,1,Python,IT,46,29,Other,FullTime,1,88200.0
25,2,29,Engineer,Hyderabad,2,3,4,SQL,Operations,48,23,Other,FullTime,0,66500.0
10,3,30,Consultant,Bangalore,1,3,1,Java,Admin,46,15,Other,Contract,0,41200.0
3,2,31,Lead,Chennai,5,5,2,Java,IT,51,28,Female,PartTime,0,3400.0
26,4,51,Manager,Pune,4,2,5,JavaScript,Operations,44,23,Other,PartTime,0,80600.0
17,3,23,Manager,Delhi,0,5,5,JavaScript,HR,46,15,Other,PartTime,0,58600.0
3,2,45,Director,Mumbai,0,4,5,JavaScript,Admin,37,9,Female,Contract,0,17800.0
16,4,63,Lead,Pune,2,2,1,JavaScript,Admin,51,9,Male,Contract,1,67000.0
1,3,60,Consultant,Chennai,3,5,3,Python,IT,36,25,Other,Contract,1,32700.0
28,5,47,Manager,Hyderabad,5,0,3,C++,HR,59,8,Male,FullTime,1,99700.0
23,4,21,Manager,Mumbai,1,3,3,C++,IT,45,22,Female,Contract,0,70200.0
21,2,36,Lead,Chennai,1,5,3,Python,Operations,54,21,Male,PartTime,1,60300.0
1,3,55,Director,Bangalore,1,0,5,C++,IT,46,11,Female,PartTime,1,29700.0
11,4,35,Intern,Bangalore,4,4,3,JavaScript,Finance,46,25,Female,Contract,1,46700.0
30,4,54,Manager,Delhi,3,4,4,C++,Admin,53,23,Female,PartTime,0,96200.0
5,5,31,Manager,Mumbai,3,5,5,Python,Operations,57,15,Female,Contract,0,37400.0
9,4,29,Engineer,Mumbai,1,4,1,C++,Operations,40,4,Female,PartTime,0,27500.0
24,3,44,Analyst,Hyderabad,1,5,1,C++,Finance,45,30,Other,PartTime,0,82000.0
22,1,57,Manager,Pune,5,5,2,SQL,Admin,52,15,Female,PartTime,0,45800.0
24,3,55,Manager,Delhi,0,1,2,C++,Finance,38,19,Female,Contract,1,78500.0
20,3,42,Intern,Bangalore,2,0,4,Java,HR,38,14,Other,Contract,1,50400.0
22,5,60,Manager,Mumbai,3,1,1,Java,Finance,42,9,Other,Contract,1,65000.0
26,5,58,Intern,Pune,3,2,1,C++,Finance,37,0,Female,PartTime,0,83500.0
15,4,27,Engineer,Mumbai,4,0,4,Python,Operations,45,22,Other,PartTime,1,52500.0
30,5,64,Lead,Delhi,1,3,4,JavaScript,Finance,54,14,Female,Contract,0,82900.0
13,4,50,Analyst,Mumbai,4,1,4,JavaScript,Finance,55,17,Male,FullTime,1,42900.0
6,1,49,Engineer,Mumbai,4,0,1,Python,Finance,55,23,Female,FullTime,1,35700.0
27,2,59,Analyst,Chennai,0,0,4,C++,Admin,50,24,Other,Contract,0,75900.0
27,5,61,Director,Mumbai,0,4,5,Java,Operations,58,28,Male,PartTime,1,87200.0
18,5,29,Manager,Hyderabad,3,5,4,C++,HR,40,11,Female,Contract,1,71600.0
22,1,21,Lead,Delhi,5,5,3,C++,IT,40,18,Female,PartTime,0,63000.0
16,5,23,Analyst,Delhi,0,1,2,Python,Operations,41,24,Other,Contract,1,77000.0
8,1,25,Intern,Hyderabad,4,2,1,C++,IT,47,2,Female,Contract,1,29200.0
25,4,31,Intern,Chennai,0,2,1,Python,Finance,51,27,Other,FullTime,1,77600.0
12,5,24,Manager,Pune,0,3,5,Java,Operations,55,5,Male,FullTime,0,42500.0
21,5,64,Consultant,Pune,5,2,4,C++,Finance,39,5,Other,PartTime,1,73700.0
4,4,53,Consultant,Chennai,5,2,2,SQL,IT,42,6,Male,FullTime,0,27900.0
22,5,53,Lead,Bangalore,2,4,3,Java,Operations,49,0,Other,FullTime,1,81600.0
4,3,40,Manager,Mumbai,5,4,1,JavaScript,IT,44,2,Male,Contract,1,6200.0
9,1,57,Intern,Hyderabad,4,2,1,Python,Admin,40,15,Female,Contract,1,20800.0
20,2,40,Manager,Delhi,1,0,4,SQL,HR,39,2,Other,PartTime,0,63500.0
26,3,54,Lead,Pune,1,4,3,Java,Admin,43,18,Male,FullTime,1,88400.0
9,2,41,Manager,Chennai,4,3,3,SQL,HR,51,27,Female,Contract,1,43900.0
26,3,27,Intern,Hyderabad,3,0,4,Java,Operations,40,24,Female,Contract,1,53100.0
6,3,36,Director,Bangalore,3,0,1,Python,Operations,56,9,Male,Contract,1,17600.0
25,3,52,Engineer,Bangalore,1,5,3,C++,Operations,39,20,Other,Contract,1,76700.0
14,1,56,Analyst,Mumbai,2,1,4,Java,Operations,57,22,Female,FullTime,1,20900.0
6,2,31,Consultant,Chennai,3,4,2,Python,Finance,35,6,Male,PartTime,1,12800.0
28,4,49,Lead,Bangalore,2,5,3,JavaScript,Admin,51,29,Male,PartTime,1,82700.0
26,4,62,Engineer,Mumbai,5,5,1,Java,Admin,42,0,Other,Contract,0,80200.0
14,5,54,Analyst,Chennai,0,5,3,Java,IT,39,1,Female,FullTime,0,58800.0
2,1,30,Lead,Bangalore,2,2,2,C++,HR,56,15,Female,Contract,1,22400.0
18,1,23,Lead,Delhi,0,0,4,JavaScript,Finance,36,18,Female,PartTime,0,50700.0
9,1,42,Director,Delhi,2,2,3,Python,Admin,49,30,Female,FullTime,0,5300.0
27,3,52,Lead,Hyderabad,1,4,2,Python,IT,58,21,Male,PartTime,1,79600.0
28,1,64,Director,Delhi,1,1,2,SQL,Operations,43,10,Male,PartTime,0,64200.0
14,4,40,Analyst,Delhi,5,3,2,SQL,Admin,46,22,Female,Contract,1,59300.0
2,1,22,Manager,Pune,0,3,3,SQL,IT,47,15,Male,PartTime,0,900.0
5,3,28,Intern,Chennai,4,0,5,C++,Admin,51,17,Female,FullTime,0,51200.0
11,2,61,Director,Mumbai,1,3,4,Python,Operations,43,1,Female,FullTime,1,66900.0
14,1,45,Manager,Delhi,0,3,2,C++,Finance,47,10,Other,FullTime,0,46900.0
5,2,31,Manager,Chennai,4,5,4,JavaScript,HR,41,0,Male,Contract,1,44400.0
12,5,44,Lead,Pune,3,2,2,C++,Finance,51,11,Male,FullTime,1,41800.0
28,3,46,Engineer,Delhi,3,4,1,C++,Finance,37,9,Female,PartTime,1,86600.0
18,1,55,Manager,Bangalore,1,3,1,Java,HR,42,25,Male,Contract,1,47700.0
2,5,60,Consultant,Pune,1,3,1,SQL,HR,43,28,Other,PartTime,0,61200.0
